ID	choice	outcome	trial
76	2	22	1
76	2	19	2
76	2	22	3
76	2	12	4
76	4	33	5
76	4	32	6
76	1	60	7
76	1	58	8
76	1	54	9
76	1	53	10
76	1	54	11
76	1	60	12
76	3	27	13
76	3	21	14
76	1	60	15
76	1	61	16
76	1	64	17
76	1	58	18
76	1	59	19
76	1	64	20
76	1	70	21
76	1	60	22
76	1	67	23
76	1	64	24
76	1	64	25
76	1	63	26
76	1	68	27
76	1	68	28
76	1	66	29
76	1	64	30
76	1	70	31
76	1	76	32
76	1	63	33
76	4	44	34
76	2	32	35
76	2	31	36
76	3	33	37
76	3	27	38
76	4	60	39
76	4	58	40
76	4	60	41
76	4	62	42
76	4	62	43
76	4	60	44
76	4	60	45
76	1	61	46
76	1	56	47
76	1	43	48
76	4	67	49
76	4	69	50
76	4	70	51
76	4	58	52
76	4	68	53
76	4	63	54
76	4	80	55
76	4	71	56
76	4	77	57
76	4	72	58
76	2	47	59
76	3	24	60
76	1	49	61
76	4	79	62
76	4	74	63
76	4	76	64
76	4	69	65
76	4	81	66
76	4	78	67
76	4	69	68
76	4	70	69
76	4	85	70
76	4	71	71
76	4	80	72
76	4	75	73
76	4	81	74
76	4	83	75
76	4	79	76
76	4	82	77
76	4	83	78
76	4	78	79
76	2	38	80
